Nome do Produto,Complemento da Marca,Princípio Ativo ou Descrição do Medicamento Notificado,Tipo de Regularização,Número da Regularização,Número do Processo,Empresa Detentora da Regularização,Situação da Regularização,Vencimento da Regularização
DESAIRON,,DEFERASIROX,REGISTRADO,102351222,25351.666306/2014-92,EMS S/A - 57.507.378/0003-65,Ativo,07/2027
MANITOL,,MANITOL,REGISTRADO,117720027,25351.462238/2024-51,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA - 01.784.792/0001-03,Ativo,06/2035
nesh ferro,,SULFATO FERROSO 40 MG (COMPRIMIDO REVESTIDO) C,NOTIFICADO,         ,,NUNESFARMA PRODUTOS FARMACÊUTICOS LTDA - 75.014.167/0001-00,Ativo,08/2033
simeticona,,SIMETICONA 40 MG (COMPRIMIDO) C,NOTIFICADO,         ,,EMS S/A - 57.507.378/0003-65,Ativo,06/2027
ANGELIQ,,"ESTRADIOL HEMI-HIDRATADO, DROSPIRENONA",REGISTRADO,170560039,25351.088919/2008-23,BAYER S.A. - 18.459.628/0001-15,Ativo,03/2035
decitabina,,DECITABINA,REGISTRADO,155370106,25351.661232/2015-99,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,05/2032
LINCOVAX,,CLORIDRATO DE LINCOMICINA,REGISTRADO,104971477,25351.801667/2021-14,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,02/2028
GINKGO VIDORA,,GINKGO BILOBA L.,REGISTRADO,104730044,25351.120871/2020-41,VIDORA FARMACÊUTICA LTDA - 92.762.277/0001-70,Ativo,01/2031
CLORIDRATO DE AMBROXOL,,CLORIDRATO DE AMBROXOL,REGISTRADO,102980306,25351.162349/2002-55,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,07/2027
VORICONAZOL,,VORICONAZOL,REGISTRADO,102980417,25351.012776/2014-03,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,04/2035
BRISA,,ACEBROFILINA,REGISTRADO,100431528,25351.404861/2024-90,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,02/2035
cetoconazol + betametasona + sulfato de neomicina,,"CETOCONAZOL, DIPROPIONATO DE BETAMETASONA, SULFATO DE NEOMICINA",REGISTRADO,141070634,25351.594288/2015-14,PHARLAB INDÚSTRIA FARMACÊUTICA S.A. - 02.501.297/0001-02,Ativo,09/2030
furoato de mometasona,,FUROATO DE MOMETASONA,REGISTRADO,102350791,25351.319089/2005-49,EMS S/A - 57.507.378/0003-65,Ativo,10/2025
VICK PYRENA GRIP – 7,,"PARACETAMOL, MALEATO DE CLORFENIRAMINA, CLORIDRATO DE FENILEFRINA",REGISTRADO,121420672,25351.098712/2021-34,PROCTER & GAMBLE DO BRASIL LTDA. - 59.476.770/0001-58,Ativo,08/2031
CETOPROFENO,,CETOPROFENO,REGISTRADO,103700548,25351.411343/2009-21,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,11/2025
ESC ODT,,OXALATO DE ESCITALOPRAM,REGISTRADO,100431328,25351.000305/2019-81,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,04/2031
fosfato de sitagliptina + cloridrato de metformina,,"FOSFATO DE SITAGLIPTINA, CLORIDRATO DE METFORMINA",REGISTRADO,105250131,25351.008543/2025-82,TORRENT DO BRASIL LTDA - 33.078.528/0001-32,Ativo,09/2035
IBUFRAN,,IBUPROFENO,REGISTRADO,155840602,25351.098945/2021-37,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,05/2031
HIDRACAL,,"HYDRASTIS CANADENSIS 6C, KALI BICHROMICUM 6C",NOTIFICADO,         ,,HOMEOPATIA WALDEMIRO PEREIRA LABORATORIO INDUSTRIAL FARMACEUTICO LTDA - 76.440.528/0001-43,Ativo,03/2031
CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA,,"CLORIDRATO DE NAFAZOLINA, MALEATO DE FENIRAMINA",REGISTRADO,154230193,25351.093407/2012-81,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,11/2027
dipropionato de betametasona + sulfato de gentamicina,,"DIPROPIONATO DE BETAMETASONA, SULFATO DE GENTAMICINA",REGISTRADO,100431439,25351.544437/2022-15,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,06/2032
OFEV,,esilato de nintedanibe,REGISTRADO,103670173,25351.456304/2015-63,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA. - 60.831.658/0001-77,Ativo,10/2025
RADIOGLIC,,FLUDESOXIGLICOSE 18F,REGISTRADO,181000001,25351.180226/2014-94,COMISSAO NACIONAL DE ENERGIA NUCLEAR - 00.402.552/0001-26,Ativo,06/2030
RENALAPRIL,,MALEATO DE ENALAPRIL,REGISTRADO,155840182,25351.543235/2011-55,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,12/2028
voriconazol,,VORICONAZOL,REGISTRADO,106460212,25351.593884/2016-04,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA - 61.282.661/0001-41,Ativo,11/2028
ACNESKIN,,GEL DE PERÓXIDO DE BENZOÍLA 5% C,NOTIFICADO,         ,,CIMED INDUSTRIA S.A - 02.814.497/0002-98,Ativo,07/2028
CERNE-12,,"PALMITATO DE RETINOL, COLECALCIFEROL, DEXTROALFATOCOFEROL, ÁCIDO ASCÓRBICO, COCARBOXILASE, fosfato sódico de riboflavina, CLORIDRATO DE PIRIDOXINA, CIANOCOBALAMINA, ÁCIDO FÓLICO, DEXPANTENOL, NICOTINAMIDA, BIOTINA",REGISTRADO,106830093,25000.030030/98-12,BAXTER HOSPITALAR LTDA - 49.351.786/0002-61,Ativo,06/2029
COMPLEXO HOMEOPATICO IGNATIA AP Nº35,,"IGNATIA AMARA 6C, ACONITUM NAPELLUS 6C, ABIES NIGRA 6C, ASAFOETIDA 6C",NOTIFICADO,         ,,FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA - 60.862.208/0001-41,Ativo,07/2035
ibandronato de sódio monoidratado,,IBANDRONATO DE SÓDIO MONOIDRATADO,REGISTRADO,167730627,25351.744557/2014-19,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,08/2029
NATSEPT,,GLICONATO DE CLOREXIDINA 1% (SOLUÇÃO AQUOSA) C,NOTIFICADO,         ,,NATIVITA IND. COM. LTDA. - 65.271.900/0001-19,Ativo,04/2028
TANTIN,,"ETINILESTRADIOL, GESTODENO",REGISTRADO,109740142,25351.024549/00-69,BIOLAB SANUS FARMACÊUTICA LTDA - 49.475.833/0001-06,Ativo,10/2026
ACETILCISTEINA,,ACETILCISTEÍNA,REGISTRADO,155840519,25351.663290/2010-25,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,07/2026
losartana potássica + hidroclorotiazida,,"losartana potássica, HIDROCLOROTIAZIDA",REGISTRADO,103700739,25351.736116/2014-04,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,12/2029
BYCAL,,BICALUTAMIDA,REGISTRADO,155370055,25351.515144/2017-63,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,10/2027
SONIC,,CLORIDRATO DE TRAZODONA,REGISTRADO,100431435,25351.668104/2019-04,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,05/2032
Caab,,cabazitaxel,REGISTRADO,155370059,25351.566165/2017-47,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,01/2028
PEN-VE-ORAL,,FENOXIMETILPENICILINA,REGISTRADO,100430685,25992.012156/55,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,10/2028
SIMETICONA,,SIMETICONA 40 MG (COMPRIMIDO) C,NOTIFICADO,         ,,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,09/2033
TRIBUGESTEX,,MALEATO DE TRIMEBUTINA,REGISTRADO,118190440,25351.065506/2022-29,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,10/2029
DIOSMIN SDU,,"DIOSMINA, HESPERIDINA",REGISTRADO,105730383,25351.184518/2007-12,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,07/2029
GINKGO VITAL,,GINKGO BILOBA L.,REGISTRADO,125680236,25351.345475/2011-81,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,11/2027
CLOTRIMIX,,CLOTRIMAZOL,REGISTRADO,103900217,25351.373965/2021-01,FARMOQUÍMICA S/A - 33.349.473/0001-58,Ativo,11/2026
MEBENIX,,ALBENDAZOL,REGISTRADO,143810196,25351.588564/2016-88,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,03/2027
Tyflen bebê,,PARACETAMOL 100 MG/ML (SUSPENSÃO) C,NOTIFICADO,         ,,BRASTERÁPICA PHARMACEUTICA LTDA - 46.179.008/0003-20,Ativo,11/2033
ÁGUA OXIGENADA 10 VOLUMES UNIPHAR,,SOLUÇÃO DE PERÓXIDO DE HIDROGÊNIO 3% C,NOTIFICADO,         ,,J.R.D.INDUSTRIA FARMACEUTICA LTDA. - 03.869.526/0002-81,Ativo,08/2033
LYNOZ,,LINEZOLIDA,REGISTRADO,102980471,25351.548517/2015-11,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,08/2028
marcodine scrub/marcodine,,IODOPOLIVIDONA 10% (SOLUÇÃO COM TENSOATIVOS) C,NOTIFICADO,         ,,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,03/2030
RESSALIVDOR,,"CAFEÍNA, dipirona monoidratada, MUCATO DE ISOMETEPTENO",REGISTRADO,104810164,25351.126028/2022-31,1FARMA INDUSTRIA FARMACEUTICA LTDA - 48.113.906/0001-49,Ativo,10/2032
cefuroxima sódica,,CEFUROXIMA SÓDICA,REGISTRADO,100630236,25351.013827/2015-19,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA - 33.258.401/0001-03,Ativo,11/2025
pregabalina,,PREGABALINA,REGISTRADO,105830980,25351.296467/2014-86,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,10/2030
voriconazol,,VORICONAZOL,REGISTRADO,100470562,25351.778166/2014-51,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA - 61.286.647/0001-16,Ativo,09/2035
Alzyd,,mesilato de rasagilina,REGISTRADO,156510117,25351.533104/2023-41,ZYDUS NIKKHO FARMACÊUTICA LTDA - 05.254.971/0001-81,Ativo,04/2034
DERMOSTATIN,,"NISTATINA, OXIDO DE ZINCO",REGISTRADO,167730607,25351.274282/2018-68,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,11/2028
dienogeste,,DIENOGESTe,REGISTRADO,118190326,25351.065379/2022-68,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,12/2030
AKALMESE,,Passiflora incarnata L.,REGISTRADO,144930061,25351.662077/2021-51,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,09/2031
bissulfato de clopidogrel,,BISSULFATO DE CLOPIDOGREL,REGISTRADO,109740329,25351.458489/2021-99,BIOLAB SANUS FARMACÊUTICA LTDA - 49.475.833/0001-06,Ativo,08/2029
IBAND,,IBANDRONATO DE SÓDIO MONOIDRATADO,REGISTRADO,167730637,25351.744560/2014-24,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,12/2029
SOVALDI,,sofosbuvir,REGISTRADO,109290001,25351.480189/2014-67,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA - 15.670.288/0001-89,Ativo,03/2035
ACSISA,,TRIANCINOLONA ACETONIDA,REGISTRADO,125680372,25351.101770/2025-86,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,09/2035
ALOND,,PREGABALINA,REGISTRADO,188300104,25351.382784/2024-18,VIATRIS FARMACEUTICA DO BRASIL LTDA - 11.643.096/0001-22,Ativo,03/2028
Restitue,,pantoprazol magnésico di-hidratado,REGISTRADO,102351296,25351.094494/2019-44,EMS S/A - 57.507.378/0003-65,Ativo,06/2029
omeprazol,,OMEPRAZOL,REGISTRADO,125680345,25351.371104/2024-22,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,10/2034
agua oxigenada 10 volumes concare,,SOLUÇÃO DE PERÓXIDO DE HIDROGÊNIO 3% C,NOTIFICADO,         ,,RIOQUIMICA S.A. - 55.643.555/0001-43,Ativo,09/2033
FITOVITAL,,"Trichilia catigua A.Juss., CROTON HELIOTROPIIFOLIUS KUNTH, PAULLINIA CUPANA KUNTH",REGISTRADO,100663398,25351.270103/2019-02,LABORATORIO CATARINENSE LTDA - 84.684.620/0001-87,Ativo,07/2030
HANAZ,,ANASTROZOL,REGISTRADO,165070024,25351.420158/2021-86,Camber Farmaceutica Ltda - 24.633.934/0001-29,Ativo,04/2033
MAYSA,,DESOGESTREL,REGISTRADO,167730633,25351.438530/2014-81,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,11/2029
succinato de desvenlafaxina monoidratado,,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,REGISTRADO,183260275,25351.610233/2015-61,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,07/2026
DELTYBA,,DELAMANIDE,REGISTRADO,188300098,25351.746135/2020-18,VIATRIS FARMACEUTICA DO BRASIL LTDA - 11.643.096/0001-22,Ativo,07/2033
MEROPENÉM,,meropeném tri-hidratado,REGISTRADO,100430034,25351.037260/2003-32,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,01/2029
OPPY,,SULFATO DE MORFINA PENTAIDRATADO,REGISTRADO,103700787,25351.228111/2021-62,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,12/2033
TAGELYNIX,,TIGECICLINA,REGISTRADO,155370132,25351.152931/2024-19,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,09/2034
AMOXICILINA,,AMOXICILINA TRI-hIDRATADA,REGISTRADO,105830891,25351.077324/2017-33,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,04/2027
CITALOPRAM,,CITALOPRAM,REGISTRADO,105730543,25351.685063/2018-19,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,02/2027
HIDANTAL,,"FENITOÍNA, FENITOÍNA SÓDICA",REGISTRADO,178170938,25351.497236/2022-11,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,07/2026
kallusfree,,COLÓDIO LACTO-SALICILADO 20% (SOLUÇÃO) C,NOTIFICADO,         ,,VIDORA FARMACEUTICA LTDA - 92.762.277/0001-70,Ativo,03/2030
LEITE DE MAGNÉSIA HEARST,,SUSPENSÃO DE HIDRÓXIDO DE MAGNÉSIO 8% C,NOTIFICADO,         ,,HEARST LABORATORIOS DO BRASIL LTDA - 28.634.665/0001-76,Ativo,03/2035
PELGRAZ,,PEGFILGRASTIM,REGISTRADO,155370090,25351.287427/2019-71,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,11/2030
LUFTGAS,,SIMETICONA 75 MG/ML (EMULSÃO ORAL) C,NOTIFICADO,         ,,VIDORA FARMACEUTICA LTDA - 92.762.277/0001-70,Ativo,04/2035
PÍLULAS DE ERVA DE BICHO COMPOSTAS IMESCARD,,"ALOE FEROX MILL., Cephaelis ipecacuanha (Brot.) A. Rich, ATROPA BELLADONNA L., PERSICARIA HYDROPIPER (L.) DELARBRE",REGISTRADO,105040010,25992.000370/25,LABORATÓRIOS OSÓRIO DE MORAES LTDA - 19.791.813/0001-75,Ativo,01/2030
risperidona,,risperidona,REGISTRADO,154230283,25351.762102/2018-09,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,12/2028
axetilcefuroxima,,AXETILCEFUROXIMA,REGISTRADO,100431503,25351.531072/2021-88,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,03/2034
levetiracetam,,LEVETIRACETAM,REGISTRADO,105250089,25351.184455/2019-38,TORRENT DO BRASIL LTDA - 33.078.528/0001-32,Ativo,05/2031
NEONAZOL SPRAY,,"SOLUÇÃO NASAL DE CLORETO DE SÓDIO 0,9% COM CONSERVANTE C",NOTIFICADO,         ,,NATIVITA IND. COM. LTDA. - 65.271.900/0001-19,Ativo,12/2031
RELAXMED,,"dipirona monoidratada, CAFEÍNA ANIDRA, CITRATO DE ORFENADRINA",REGISTRADO,104810133,25351.098881/2017-98,1FARMA INDUSTRIA FARMACEUTICA LTDA - 48.113.906/0001-49,Ativo,06/2027
pomada de thuya occidentalis 6CH,,THUYA OCCIDENTALIS 6C,NOTIFICADO,         ,,FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA - 60.862.208/0001-41,Ativo,11/2034
"WASH IN Sol nasal de cloreto sodio 0,9%",,"SOLUÇÃO NASAL DE CLORETO DE SÓDIO 0,9% C",NOTIFICADO,         ,,LABORATORIO TAYUYNA LTDA - 60.879.848/0001-64,Ativo,02/2032
BETAFERON,,BETAINTERFERONA 1B,REGISTRADO,170560053,25351.092959/2008-70,BAYER S.A. - 18.459.628/0001-15,Ativo,03/2026
EUPHORBIUM COMPOSITUM SN,,"EUPHORBIA RESINIFERA, Pulsatilla, LUFFA OPERCULATA, MERCURIUS IODATUS RUBER, HEPAR SULPHUR, ARGENTUM NITRICUM",REGISTRADO,161980008,25351.280033/2005-97,HEEL DO BRASIL BIOMÉDICA LTDA - 05.994.539/0001-27,Ativo,10/2028
omeprazol,,"OMEPRAZOL, OMEPRAZOL SÓDICO",REGISTRADO,104971461,25351.482057/2020-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,05/2031
hemifumarato de quetiapina,,hemifumarato de quetiapina,REGISTRADO,167730453,25351.110417/2015-15,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,10/2026
simeticona,,SIMETICONA 125 MG (CÁPSULA GELATINOSA MOLE) C,NOTIFICADO,         ,,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A. - 60.659.463/0001-91,Ativo,02/2035
Vialebex,,ALBUMINA HUMANA,REGISTRADO,163070004,25351.010724/2006-14,LFB - HEMODERIVADOS E BIOTECNOLOGIA LTDA - 07.207.572/0001-95,Ativo,07/2026
EMPAVELI,,PEGCETACOPLANA,REGISTRADO,139000007,25351.018161/2025-67,PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA - 21.896.000/0001-91,Ativo,07/2033
etoricoxibe,,ETORICOXIBE,REGISTRADO,155840648,25351.456728/2020-95,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,03/2033
HOMINUS,,"MESILATO DE DOXAZOSINA, FINASTERIDA",REGISTRADO,100431396,25351.151028/2021-98,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,04/2026
LIPIDIL,,FENOFIBRATO,REGISTRADO,105530358,25351.369200/2012-41,ABBOTT LABORATÓRIOS DO BRASIL LTDA - 56.998.701/0001-16,Ativo,10/2028
simeticona 125mg,,SIMETICONA 125 MG (CÁPSULA GELATINOSA MOLE) C,NOTIFICADO,         ,,LABORATORIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,04/2029
SITAR,,FOSFATO DE SITAGLIPTINA,REGISTRADO,146820108,25351.325720/2023-21,SUN FARMACÊUTICA DO BRASIL LTDA - 05.035.244/0001-23,Ativo,06/2033
Solução fisiológica Bem cuidar,,"SOLUÇÃO DE CLORETO DE SÓDIO 0,9% C",NOTIFICADO,         ,,LABORATORIO FARMACEUTICO ARBORETO LTDA - 41.921.149/0001-90,Ativo,08/2032
PIQRAY,,ALPELISIBE,REGISTRADO,100681165,25351.178452/2019-65,NOVARTIS BIOCIENCIAS S.A - 56.994.502/0001-30,Ativo,09/2029
rivaroxabana,,RIVAROXABANA,REGISTRADO,170420013,25351.047424/2025-45,MCG INDUSTRIA FARMACEUTICA E IMPORTAÇAO LTDA - 18.755.529/0001-80,Ativo,08/2035
FUROATO DE MOMETASONA,,FUROATO DE MOMETASONA,REGISTRADO,105830484,25351.309111/2005-42,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,10/2025
OLMESARTANA MEDOXOMILA,,OLMESARTANA MEDOXOMILA,REGISTRADO,105250057,25351.460401/2010-40,TORRENT DO BRASIL LTDA - 33.078.528/0001-32,Ativo,08/2028
TEFLUT,,FLUTAMIDA,REGISTRADO,116370131,25351.665541/2014-32,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,10/2025
CHLORCLEAR 2% - SOLUÇÃO AQUOSA,,GLICONATO DE CLOREXIDINA 2% (SOLUÇÃO AQUOSA) C,NOTIFICADO,         ,,VIC PHARMA INDUSTRIA E COMERCIO LTDA - 39.032.974/0001-92,Ativo,11/2032
ZYNVIR,,ACICLOVIR SÓDICO,REGISTRADO,100410192,25351.936078/2020-67,FRESENIUS KABI BRASIL LTDA - 49.324.221/0001-04,Ativo,10/2028
BRUKINSA,,ZANUBRUTINIBE,REGISTRADO,186420001,25351.419648/2023-00,BEONE MEDICINES BRASIL LTDA - 30.763.301/0003-08,Ativo,08/2029
BUSCOFEM GIRLS,,IBUPROFENO,REGISTRADO,178170968,25351.673259/2022-39,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,04/2034
DERMOTIL FUSID,,"FUROATO DE MOMETASONA, ÁCIDO FUSÍDICO",REGISTRADO,110130273,25351.261696/2011-61,GLENMARK FARMACÊUTICA LTDA - 44.363.661/0001-57,Ativo,03/2028
PARACETAMOL,,PARACETAMOL,REGISTRADO,110390224,25351.371101/2014-17,FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP - 43.640.754/0001-19,Ativo,08/2027
LOTAR,,"BESILATO DE ANLODIPINO, losartana potássica",REGISTRADO,105730577,25351.689328/2018-40,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,07/2028
ALGICOD,,"PARACETAMOL, FOSFATO DE CODEÍNA",REGISTRADO,100431366,25351.049634/2021-44,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,10/2026
DIMEZIN,,SIMETICONA 40 MG (COMPRIMIDO) C,NOTIFICADO,         ,,LABORATORIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,09/2027
Divalproato de sódio,,DIVALPROATO DE SÓDIO,REGISTRADO,167730624,25351.013524/2014-38,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,06/2029
FOQ XR,,CLORIDRATO DE METILFENIDATO,REGISTRADO,178170937,25351.695192/2021-11,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,09/2032
OLANZAPINA,,OLANZAPINA,REGISTRADO,155840515,25351.539285/2011-58,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,06/2026
LISADOR MUSCULAR,,"dipirona monoidratada, CAFEÍNA ANIDRA, CITRATO DE ORFENADRINA",REGISTRADO,178170981,25351.225914/2022-46,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,02/2035
SPYLGLEN,,acetato de abiraterona,REGISTRADO,110130303,25351.690551/2023-05,GLENMARK FARMACÊUTICA LTDA - 44.363.661/0001-57,Ativo,10/2034
cloridrato de ciprofloxacino,,cloridrato de ciprofloxacino monoidratado,REGISTRADO,143810122,25351.057952/2008-10,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,09/2028
DICLOFENACO SÓDICO,,DICLOFENACO SÓDICO,REGISTRADO,102350929,25351.060544/2008-37,EMS S/A - 57.507.378/0003-65,Ativo,02/2029
FOLONIN,,ÁCIDO FÓLICO,REGISTRADO,154230142,25351.612811/2008-64,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,04/2029
secnidazol,,SECNIDAZOL,REGISTRADO,141070131,25351.196448/2016-36,PHARLAB INDÚSTRIA FARMACÊUTICA S.A. - 02.501.297/0001-02,Ativo,10/2026
ÁGUA OXIGENADA 10 VOLUMES BEM BÁSICO,,SOLUÇÃO DE PERÓXIDO DE HIDROGÊNIO 3% C,NOTIFICADO,         ,,FARMAX S.A. - 21.759.758/0001-88,Ativo,07/2034
citrato de sildenafila,,CITRATO DE SILDENAFILA,REGISTRADO,110390212,25351.672642/2014-60,FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP - 43.640.754/0001-19,Ativo,05/2026
Glicolive,,SULFATO DE GLICOSAMINA,REGISTRADO,105730403,25351.461092/2009-17,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,07/2026
KALYDECO,,IVACAFTOR,REGISTRADO,138230006,25351.050887/2022-41,VERTEX FARMACEUTICA DO BRASIL LTDA. - 21.798.065/0001-02,Ativo,07/2033
metronidazol,,METRONIDAZOL,REGISTRADO,166460001,25351.155771/2022-06,MEDILAR IMPORTAÇÃO E DISTRIBUIÇÃO DE PRODUTOS MÉDICO HOSPITALARES S/A - 07.752.236/0001-23,Ativo,07/2035
TALERC,,CLORIDRATO DE EPINASTINA,REGISTRADO,105730364,25351.212403/2006-44,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,11/2026
Nutrical D,,CARBONATO DE CÁLCIO 1250 MG + COLECALCIFEROL 200 UI (COMPRIMIDO REVESTIDO) C,NOTIFICADO,         ,,Farmoquimica S/A - 33.349.473/0003-10,Ativo,04/2030
acetilcisteína,,ACETILCISTEÍNA,REGISTRADO,154230289,25351.743460/2011-50,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,04/2029
DENBONLI,,denosumabe,REGISTRADO,100470667,25351.255257/2023-42,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA - 61.286.647/0001-16,Ativo,09/2035
FUMARATO DE CETOTIFENO,,FUMARATO DE CETOTIFENO,REGISTRADO,113430146,25351.519622/2006-51,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,08/2027
TENOXICAM,,TENOXICAM,REGISTRADO,154230215,25351.782334/2011-69,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,04/2029
desogestrel,,DESOGESTREL,REGISTRADO,115600208,25351.133068/2014-42,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA - 17.562.075/0001-69,Ativo,03/2030
